,country,year,co2_e,coal_c,elec_g,elec_c,hydro_g,nuclear_g,gas_g,oil_c,oil_g
3293,Hungary,2014,4.48,0.23,3000.0,3970.0,0.0,0.0,0.0,0.716,0.0
1940,Austria,1997,8.41,0.46,7080.0,6620.0,0.389,0.0,0.0,1.48,0.0
117,Ireland,1969,6.43,1.53,0.0,1610.0,0.0171,0.0,0.0,1.27,0.0
1933,Uzbekistan,1996,4.57,0.0359,1960.0,1830.0,0.024,0.0,1.64,0.284,0.328
730,Saudi Arabia,1979,15.1,0.0,0.0,1520.0,0.0,0.0,0.623,3.72,53.4
1652,Greece,1993,8.0,0.768,3650.0,3460.0,0.0187,0.0,0.0,1.61,0.0
2767,Malaysia,2007,6.85,0.331,4060.0,3230.0,0.0206,0.0,2.18,1.15,1.25
3059,Hungary,2011,5.09,0.274,3640.0,3900.0,0.00192,0.135,0.0,0.699,0.0
1117,Portugal,1985,2.73,0.0775,1900.0,1870.0,0.0923,0.0,0.0,0.915,0.0
2162,Turkmenistan,1999,8.43,0.0,1980.0,1400.0,0.0001,0.0,3.96,0.938,1.58
1852,Turkey,1995,3.1,0.283,1470.0,1210.0,0.0519,0.0,0.0,0.496,0.0
1681,Peru,1993,1.0,0.0123,633.0,515.0,0.0442,0.0,0.014,0.251,0.283
74,Portugal,1967,1.42,0.0687,0.0,572.0,0.0536,0.0,0.0,0.332,0.0
1006,Bangladesh,1984,0.103,0.0004,0.0,30.7,0.00086,0.0,0.0221,0.0168,0.0
2203,India,2000,0.975,0.156,541.0,393.0,0.00607,0.00138,0.0206,0.1,0.0323
758,Algeria,1980,3.46,0.00333,0.0,339.0,0.00118,0.0,0.689,0.285,2.68
2571,Canada,2005,17.9,0.934,19400.0,16900.0,0.969,0.245,4.79,3.11,4.62
720,Norway,1979,8.54,0.259,0.0,18900.0,1.87,0.0,4.33,2.4,4.79
1397,Bangladesh,1990,0.137,0.00273,74.9,47.9,0.00072,0.0,0.0381,0.018,0.0
279,Thailand,1972,0.559,0.0023,0.0,145.0,0.0038,0.0,0.0,0.181,0.0
2759,Kuwait,2007,29.9,0.00016,19500.0,17100.0,0.0,0.0,3.67,7.13,51.9
1574,Greece,1992,8.16,0.776,3590.0,3400.0,0.0183,0.0,0.0,1.58,0.0
689,Cyprus,1979,4.48,0.0,0.0,1380.0,0.0,0.0,0.0,1.27,0.0
1458,Sweden,1990,6.71,0.346,17100.0,15800.0,0.728,0.685,0.0,2.24,0.0
18,Netherlands,1965,8.2,0.723,0.0,1910.0,0.0,0.0,0.0,2.06,0.0
1751,Mexico,1994,3.9,0.0499,1620.0,1430.0,0.019,0.00402,0.279,0.904,1.71
2264,Cyprus,2001,7.3,0.0552,3700.0,3440.0,0.0,0.0,0.0,2.68,0.0
2134,South Korea,1999,8.48,0.812,5580.0,4880.0,0.00782,0.194,0.0,2.14,0.0
1849,Thailand,1995,2.64,0.121,1340.0,1250.0,0.00967,0.0,0.17,0.571,0.0558
638,Indonesia,1978,0.669,0.00095,0.0,31.6,0.00083,0.0,0.0675,0.107,0.584
1244,Peru,1987,1.24,0.00889,677.0,588.0,0.046,0.0,0.0233,0.324,0.415
1109,Netherlands,1985,10.1,0.438,4340.0,4520.0,2e-05,0.0232,4.24,2.04,0.0
1123,Sweden,1985,7.47,0.348,16400.0,15000.0,0.731,0.603,0.0,2.8,0.0
1578,Indonesia,1992,1.09,0.0225,215.0,193.0,0.00398,0.0,0.237,0.193,0.409
392,Mexico,1974,2.67,0.0305,0.0,639.0,0.0246,0.0,0.192,0.512,0.559
3170,Saudi Arabia,2012,19.3,0.00253,9320.0,8040.0,0.0,0.0,2.78,5.01,18.8
3118,Switzerland,2012,5.28,0.0154,8740.0,7890.0,0.0,0.0,0.0,1.4,0.0
2068,New Zealand,1998,7.91,0.301,9940.0,9130.0,0.575,0.0,0.0,1.6,0.0
1284,UK,1988,10.0,1.19,5440.0,5230.0,0.00745,0.0959,0.666,1.41,2.01
2451,Latvia,2003,3.35,0.0385,1720.0,2490.0,0.0835,0.0,0.0,0.638,0.0
746,Bangladesh,1980,0.0955,0.00156,0.0,18.1,0.00062,0.0,0.0152,0.0204,0.0
1633,Belarus,1993,7.66,0.142,3290.0,3450.0,0.00016,0.0,0.0,1.43,0.0
838,Iceland,1981,7.58,0.155,0.0,12900.0,1.16,0.0,0.0,2.47,0.0
4,Switzerland,1965,5.22,0.219,0.0,3590.0,0.364,0.0,0.0,1.38,0.0
2078,Saudi Arabia,1998,10.5,0.0,6380.0,5290.0,0.0,0.0,1.93,3.41,22.5
2269,Ecuador,2001,1.78,0.0,856.0,650.0,0.0484,0.0,0.0,0.524,1.7
1846,Slovak Republic,1995,8.24,1.01,4980.0,4930.0,0.0781,0.183,0.0,0.603,0.0
1952,Cyprus,1997,7.1,0.0853,3060.0,2850.0,0.0,0.0,0.0,2.41,0.0
2554,Turkey,2004,3.65,0.33,2250.0,1870.0,0.0589,0.0,0.0,0.464,0.0
723,Pakistan,1979,0.373,0.00875,0.0,136.0,0.00909,0.00012,0.0559,0.0635,0.0
3190,Belgium,2013,9.11,0.316,7480.0,7990.0,0.0,0.0,0.0,2.74,0.0
2096,Austria,1999,8.17,0.401,7500.0,6970.0,0.438,0.0,0.0,1.51,0.0
3189,Azerbaijan,2013,3.74,0.00033,2490.0,2090.0,0.0,0.0,1.6,0.484,4.67
2874,Argentina,2009,4.42,0.0204,3020.0,2720.0,0.0727,0.0175,0.856,0.601,0.841
1428,Israel,1990,8.06,0.533,4700.0,4180.0,6e-05,0.0,0.0,2.0,0.0
1613,Slovenia,1992,6.99,0.746,6160.0,4940.0,0.151,0.176,0.0,0.778,0.0
1445,Oman,1990,6.2,0.0,2480.0,2200.0,0.0,0.0,1.16,1.13,18.9
2053,Italy,1998,8.11,0.207,4580.0,4960.0,0.0623,0.0,0.276,1.67,0.0991
1402,Switzerland,1990,6.64,0.0535,8420.0,7450.0,0.384,0.304,0.0,1.92,0.0
2116,Estonia,1999,11.2,1.91,5890.0,4460.0,0.00025,0.0,0.0,0.883,0.0
200,Norway,1971,6.96,0.206,0.0,14100.0,1.39,0.0,0.0,2.07,0.075
799,Thailand,1980,0.844,0.0095,0.0,301.0,0.00231,0.0,0.0,0.244,0.0
2731,Colombia,2007,1.41,0.0767,1380.0,998.0,0.0862,0.0,0.143,0.242,0.64
318,Iceland,1973,8.23,0.00202,0.0,9900.0,0.892,0.0,0.0,3.11,0.0
1837,Peru,1995,0.975,0.0154,695.0,537.0,0.0463,0.0,0.0137,0.299,0.263
929,Thailand,1982,0.765,0.0132,0.0,331.0,0.00667,0.0,0.0243,0.203,0.0049
1859,UAE,1996,28.7,0.0,10500.0,9390.0,0.0,0.0,11.2,7.94,46.0
2820,France,2008,6.42,0.194,9220.0,7640.0,0.0881,0.609,0.0,1.42,0.0
2396,Turkmenistan,2002,8.66,0.0,2320.0,1740.0,6e-05,0.0,9.01,0.943,1.78
1259,Vietnam,1987,0.365,0.0541,95.0,79.0,0.00189,0.0,0.00048,0.0397,0.0044
1387,USA,1989,19.8,1.83,12600.0,11500.0,0.0878,0.192,1.62,3.15,1.72
2603,Kuwait,2005,31.4,0.0,19300.0,17300.0,0.0,0.0,4.43,8.6,57.4
2472,Sweden,2003,6.39,0.327,15100.0,15400.0,0.515,0.649,0.0,1.98,0.0
1605,Poland,1992,9.55,1.97,3480.0,2960.0,0.00339,0.0,0.067,0.356,0.0
3321,Poland,2014,8.11,1.3,4180.0,3970.0,0.0,0.0,0.0978,0.628,0.0
2905,India,2009,1.41,0.231,722.0,596.0,0.00742,0.00133,0.0255,0.126,0.0312
697,Finland,1979,11.4,0.853,0.0,7930.0,0.196,0.122,0.0,2.79,0.0
728,Qatar,1979,70.0,0.0,0.0,6860.0,0.0,0.0,18.9,2.11,123.0
384,Israel,1974,6.06,0.0,0.0,2520.0,0.0,0.0,0.0,1.76,0.0
2102,Brazil,1999,1.84,0.0708,1940.0,1820.0,0.146,0.00199,0.0382,0.504,0.345
846,Morocco,1981,0.773,0.0206,0.0,252.0,0.00438,0.0,0.0,0.206,0.0
909,Sri Lanka,1982,0.288,0.00115,0.0,110.0,0.0089,0.0,0.0,0.0863,0.0
190,Italy,1971,5.78,0.177,0.0,2150.0,0.0626,0.00539,0.205,1.74,0.0251
2746,Croatia,2007,5.72,0.158,2910.0,3850.0,0.0823,0.0,0.0,1.09,0.0
3290,Greece,2014,7.36,0.628,4720.0,5060.0,0.0,0.0,0.0,1.36,0.0
153,Sweden,1970,11.5,0.236,0.0,7320.0,0.444,0.0006,0.0,3.59,0.0
1629,Azerbaijan,1993,6.39,0.0004,2510.0,2120.0,0.0273,0.0,0.752,1.06,1.35
2475,Trinidad and Tobago,2003,24.9,0.0,5020.0,4530.0,0.0,0.0,16.9,1.36,5.97
759,Ecuador,1980,1.68,0.0,0.0,353.0,0.00942,0.0,0.0,0.371,1.38
419,Austria,1975,7.1,0.477,0.0,3730.0,0.266,0.0,0.0,1.4,0.0
3200,Cyprus,2013,5.72,0.00021,3750.0,3520.0,0.0,0.0,0.0,2.02,0.0
1356,Iran,1989,3.47,0.0129,938.0,879.0,0.0121,0.0,0.245,0.867,2.62
895,Greece,1982,5.26,0.406,0.0,2270.0,0.0313,0.0,0.0,1.21,0.0
853,Pakistan,1981,0.425,0.0099,0.0,141.0,0.00934,0.00015,0.0697,0.066,0.0
2315,Slovenia,2001,8.25,0.724,7280.0,6010.0,0.164,0.227,0.0,1.22,0.0
1829,Mexico,1995,3.62,0.0546,1640.0,1450.0,0.0256,0.00787,0.274,0.827,1.64
3029,UAE,2011,18.9,0.0497,11100.0,10700.0,0.0,0.0,4.9,3.78,16.8
966,Iran,1983,3.42,0.0291,0.0,676.0,0.0124,0.0,0.152,0.84,2.81
1451,Qatar,1990,24.7,0.0,10200.0,10300.0,0.0,0.0,11.8,3.6,44.3
1701,Vietnam,1993,0.314,0.0288,147.0,114.0,0.00959,0.0,0.00287,0.0545,0.0871
1725,Spain,1994,6.4,0.477,4080.0,3760.0,0.0616,0.121,0.0,1.36,0.0
1482,China,1991,2.13,0.464,568.0,549.0,0.00927,0.0,0.0112,0.102,0.118
3096,Sweden,2011,5.17,0.26,16000.0,14000.0,0.604,0.547,0.0,1.49,0.0
2804,Brazil,2008,1.98,0.0717,2410.0,2220.0,0.166,0.00627,0.0644,0.512,0.514
589,Netherlands,1977,11.8,0.227,0.0,4080.0,0.0,0.0231,5.33,2.71,0.0
114,UK,1969,11.4,1.84,0.0,4010.0,0.00498,0.0452,0.0,1.77,0.00154
2156,Saudi Arabia,1999,11.2,0.0,6490.0,5390.0,0.0,0.0,1.87,3.46,20.2
1831,Malaysia,1995,5.86,0.0814,2270.0,2040.0,0.0258,0.0,1.19,0.921,1.63
815,Switzerland,1981,6.17,0.0802,0.0,6120.0,0.483,0.209,0.0,1.88,0.0
108,Switzerland,1969,6.25,0.125,0.0,4020.0,0.383,0.00752,0.0,1.83,0.0
1394,Austria,1990,8.08,0.53,6530.0,6110.0,0.353,0.0,0.0,1.4,0.0
123,Norway,1969,5.78,0.218,0.0,13200.0,1.28,0.0,0.0,1.9,0.0
1932,USA,1996,21.0,1.87,13700.0,12900.0,0.112,0.228,1.63,3.06,1.42
805,South Africa,1980,8.0,1.5,0.0,3410.0,0.00293,0.0,0.0,0.42,0.0
1173,Malaysia,1986,2.5,0.0148,1010.0,912.0,0.0216,0.0,0.807,0.567,1.49
1461,Trinidad and Tobago,1990,13.9,0.0,2930.0,2590.0,0.0,0.0,3.85,1.04,6.04
3076,Morocco,2011,1.73,0.0908,773.0,823.0,0.0,0.0,0.0,0.4,0.0
2343,Czech Republic,2002,12.1,1.99,7450.0,5890.0,0.021,0.158,0.0,0.787,0.0
2097,Azerbaijan,1999,3.55,0.0,2260.0,2020.0,0.0161,0.0,0.583,0.711,1.72
3218,Ireland,2013,8.06,0.443,5670.0,5700.0,0.0,0.0,0.0,1.44,0.0
1727,Finland,1994,12.1,1.31,12900.0,13600.0,0.199,0.328,0.0,2.18,0.0
1002,Argentina,1984,3.58,0.0208,0.0,1300.0,0.0572,0.0134,0.379,0.696,0.845
477,USA,1975,20.1,1.38,0.0,8520.0,0.119,0.072,2.03,3.58,2.14
348,Venezuela,1973,5.34,0.0219,0.0,1160.0,0.0452,0.0,0.701,1.04,14.6
967,Iraq,1983,2.6,0.0,0.0,1030.0,0.00349,0.0,0.0259,0.581,3.67
167,China,1971,1.03,0.225,0.0,152.0,0.00308,0.0,0.00382,0.0453,0.0464
2034,Algeria,1998,3.53,0.0181,770.0,624.0,0.00062,0.0,2.28,0.272,2.03
1253,Sweden,1987,7.09,0.364,17400.0,15700.0,0.734,0.689,0.0,2.54,0.0
2406,Argentina,2003,3.54,0.0126,2420.0,2170.0,0.0765,0.0171,0.901,0.488,1.13
1317,Slovak Republic,1988,11.1,1.63,4390.0,5150.0,0.0289,0.189,0.0,1.09,0.0
1245,Philippines,1987,0.568,0.0163,395.0,319.0,0.00791,0.0,0.0,0.159,0.0
2890,Germany,2009,9.76,0.887,7360.0,6820.0,0.0195,0.141,0.135,1.37,0.0
1344,Ecuador,1989,2.02,0.0,577.0,436.0,0.0425,0.0,0.0,0.523,1.53
2561,UAE,2005,25.0,0.0317,13200.0,13200.0,0.0,0.0,8.73,5.44,29.8
116,Hungary,1969,6.04,0.88,0.0,1470.0,0.00079,0.0,0.0,0.495,0.0
118,Iceland,1969,6.26,0.0102,0.0,3800.0,0.368,0.0,0.0,2.37,0.0
935,South Africa,1982,9.31,1.84,0.0,3640.0,0.00285,0.0,0.0,0.436,0.0
1405,Colombia,1990,1.72,0.0483,1160.0,885.0,0.0712,0.0,0.102,0.282,0.706
3338,Venezuela,2014,6.13,0.00656,4270.0,2710.0,0.0,0.0,0.91,1.12,4.61
2001,Singapore,1997,15.5,0.0,7120.0,6830.0,0.0,0.0,0.0,9.05,0.0
2504,Egypt,2004,2.01,0.0117,1320.0,1140.0,0.0149,0.0,0.368,0.362,0.47
1561,Colombia,1992,1.79,0.0976,1060.0,790.0,0.0555,0.0,0.0994,0.306,0.676
2636,Venezuela,2005,6.2,0.00141,3950.0,2860.0,0.249,0.0,0.99,1.07,6.41
2325,Vietnam,2001,0.738,0.0635,379.0,330.0,0.0197,0.0,0.0205,0.111,0.212
2386,Portugal,2002,6.71,0.337,4440.0,4270.0,0.0643,0.0,0.0,1.57,0.0
2783,Slovenia,2007,8.59,0.782,7480.0,7140.0,0.14,0.243,0.0,1.3,0.0
2493,Canada,2004,18.4,0.943,18800.0,17300.0,0.917,0.243,4.78,3.17,4.76
1532,Saudi Arabia,1991,16.0,0.0,5070.0,4150.0,0.0,0.0,1.71,3.19,25.5
2276,Greece,2001,9.47,0.838,4820.0,4720.0,0.0163,0.0,0.0,1.85,0.0
3161,Oman,2012,16.8,0.00883,7150.0,6110.0,0.0,0.0,6.96,2.06,12.9
2298,North Macedonia,2001,5.87,0.723,3110.0,2810.0,0.0267,0.0,0.0,0.389,0.0
1415,Finland,1990,11.4,1.05,10900.0,12500.0,0.187,0.331,0.0,2.27,0.0
937,Argentina,1983,3.59,0.0284,0.0,1250.0,0.0538,0.00994,0.375,0.751,0.877
1754,Netherlands,1994,11.2,0.561,5180.0,5640.0,0.00056,0.0223,3.9,2.31,0.0
1074,Canada,1985,16.4,1.04,17800.0,14900.0,1.01,0.201,2.69,2.77,3.33
1035,Italy,1984,6.42,0.269,0.0,3300.0,0.0643,0.0104,0.197,1.49,0.04
2151,Poland,1999,8.53,1.57,3690.0,3170.0,0.00483,0.0,0.0804,0.564,0.0
988,Qatar,1983,36.4,0.0,0.0,8910.0,0.0,0.0,15.1,3.71,49.6
1370,Norway,1989,8.16,0.205,28200.0,22900.0,2.41,0.0,5.8,2.16,17.7
1746,Sri Lanka,1994,0.301,2e-05,242.0,200.0,0.0194,0.0,0.0,0.0944,0.0
1793,Chile,1995,2.86,0.165,1950.0,1740.0,0.11,0.0,0.0,0.713,0.0
1995,Poland,1997,9.55,1.82,3700.0,3210.0,0.00439,0.0,0.0831,0.472,0.0
58,Denmark,1967,10.2,0.743,0.0,2130.0,0.00045,0.0,0.0,2.6,0.0
645,Italy,1978,6.64,0.174,0.0,2890.0,0.07,0.00682,0.202,1.78,0.0266
2604,Sri Lanka,2005,0.611,0.00299,453.0,400.0,0.0149,0.0,0.0,0.202,0.0
518,Kuwait,1976,17.0,0.0,0.0,4080.0,0.0,0.0,2.91,3.9,101.0
818,Colombia,1981,1.61,0.0901,0.0,651.0,0.0447,0.0,0.0954,0.272,0.264
1511,Kuwait,1991,7.35,0.0,5310.0,7530.0,0.0,0.0,0.201,1.72,4.54
1351,"Hong Kong, China",1989,5.34,1.08,4850.0,3940.0,0.0,0.0,0.0,1.06,0.0
875,Belgium,1982,11.9,1.1,0.0,4900.0,0.00291,0.137,0.0,2.24,0.0
1050,Philippines,1984,0.584,0.0149,0.0,337.0,0.00863,0.0,0.0,0.159,0.0
129,USA,1969,19.4,1.43,0.0,6900.0,0.105,0.00617,0.0,3.27,2.46
2413,Belarus,2003,5.91,0.0655,2750.0,3060.0,0.00024,0.0,0.0,0.845,0.0
132,Belgium,1970,13.0,1.69,0.0,3030.0,0.0022,0.00051,0.0,2.72,0.0
1765,Russia,1994,11.1,0.835,5900.0,5190.0,0.101,0.0565,3.24,1.17,2.14
1441,Malaysia,1990,3.16,0.0735,1280.0,1190.0,0.0188,0.0,0.859,0.701,1.64
474,Thailand,1975,0.576,0.00326,0.0,190.0,0.00689,0.0,0.0,0.195,0.0
2886,China,2009,5.7,1.24,2730.0,2610.0,0.0396,0.00452,0.0543,0.287,0.139
2501,Denmark,2004,10.2,0.813,7490.0,6620.0,0.00043,0.0,1.57,1.68,3.53
1067,Argentina,1985,3.32,0.0302,1500.0,1290.0,0.0585,0.0163,0.384,0.62,0.8
3094,Slovak Republic,2011,7.04,0.675,5200.0,5350.0,0.0579,0.226,0.0,0.679,0.0
63,Greece,1967,2.29,0.236,0.0,742.0,0.0165,0.0,0.0,0.667,0.0
2984,Ireland,2010,9.16,0.436,6300.0,5930.0,0.0115,0.0,0.0,1.65,0.0
227,Bulgaria,1972,7.68,0.948,0.0,2490.0,0.021,0.0,0.0,1.19,0.0
1584,Israel,1992,8.86,0.665,5190.0,4570.0,0.00052,0.0,0.0,2.02,0.0
641,Iran,1978,4.51,0.0219,0.0,511.0,0.0149,0.0,0.211,0.8,7.36
2738,Egypt,2007,2.38,0.00989,1530.0,1360.0,0.0173,0.0,0.589,0.391,0.432
1620,USA,1992,20.2,1.78,12800.0,12000.0,0.0847,0.218,1.62,2.99,1.61
2943,Trinidad and Tobago,2009,33.9,0.0,5920.0,5390.0,0.0,0.0,25.1,1.62,5.15
3300,Israel,2014,7.88,0.839,7800.0,6600.0,0.0,0.0,0.0,1.24,0.0
3282,Algeria,2014,3.68,0.0046,1650.0,1370.0,0.0,0.0,1.77,0.47,1.77
2589,"Hong Kong, China",2005,6.47,1.01,5680.0,5880.0,0.0,0.0,0.0,2.03,0.0
1941,Azerbaijan,1997,3.76,0.00038,2120.0,1810.0,0.0186,0.0,0.592,0.712,1.14
2167,Uzbekistan,1999,5.01,0.034,1860.0,1750.0,0.02,0.0,1.77,0.291,0.332
1034,Israel,1984,5.93,0.427,0.0,3360.0,4e-05,0.0,0.0,1.74,0.0
952,Denmark,1983,9.81,1.11,0.0,4740.0,0.00057,0.0,0.0,2.04,0.409
2279,Hungary,2001,5.91,0.361,3570.0,3430.0,0.00157,0.119,0.0,0.656,0.0
237,Denmark,1972,12.0,0.294,0.0,3350.0,0.00041,0.0,0.0,3.82,0.0196
1215,Egypt,1987,1.44,0.0152,686.0,610.0,0.014,0.0,0.1,0.418,0.89
2647,Belarus,2006,6.82,0.0645,3340.0,3370.0,0.00031,0.0,0.0,0.93,0.0
1496,Greece,1991,8.09,0.752,3470.0,3250.0,0.026,0.0,0.0,1.58,0.0
593,Pakistan,1977,0.343,0.00785,0.0,108.0,0.00611,0.0005,0.0514,0.0602,0.0
309,UK,1973,11.8,1.44,0.0,4670.0,0.00592,0.0429,0.438,2.03,0.00664
3283,Ecuador,2014,2.85,0.0,1520.0,1380.0,0.0,0.0,0.0,0.763,1.87
834,India,1981,0.472,0.0892,0.0,152.0,0.00595,0.00036,0.00238,0.0476,0.0209
2066,Netherlands,1998,11.2,0.542,5840.0,6260.0,0.00061,0.0209,3.7,2.5,0.0
3102,USA,2011,17.9,1.51,14000.0,13200.0,0.09,0.226,1.7,2.56,1.11
2742,France,2007,6.56,0.208,9210.0,7510.0,0.0807,0.612,0.0,1.45,0.0
2530,Morocco,2004,1.44,0.12,583.0,614.0,0.0046,0.0,0.0,0.286,0.0
176,Spain,1971,3.75,0.288,0.0,1530.0,0.0801,0.00635,0.0,0.902,0.0
1423,India,1990,0.707,0.126,330.0,273.0,0.00705,0.0006,0.0114,0.0663,0.0391
2891,Denmark,2009,8.84,0.729,6580.0,6220.0,0.0003,0.0,1.36,1.49,2.33
2941,Thailand,2009,3.64,0.225,2180.0,2070.0,0.00895,0.0,0.378,0.681,0.224
2568,Bulgaria,2005,6.59,0.901,5770.0,4170.0,0.0482,0.207,0.0,0.669,0.0
1313,Qatar,1988,26.8,0.0,10400.0,10400.0,0.0,0.0,11.8,3.38,39.8
945,Switzerland,1983,6.3,0.0614,0.0,6330.0,0.478,0.212,0.0,1.93,0.0
3339,Vietnam,2014,1.75,0.227,1540.0,1430.0,0.0,0.0,0.0924,0.204,0.173
1185,Saudi Arabia,1986,14.8,0.0,4040.0,3480.0,0.0,0.0,1.49,3.33,18.3
1728,France,1994,6.79,0.249,8280.0,6530.0,0.118,0.537,0.0,1.53,0.0
884,Cyprus,1982,4.57,0.0,0.0,1530.0,0.0,0.0,0.0,1.44,0.0
354,Austria,1974,7.52,0.549,0.0,3770.0,0.252,0.0,0.0,1.39,0.0
1473,Azerbaijan,1991,6.93,0.00911,3190.0,2630.0,0.0206,0.0,0.98,1.12,1.6
621,Chile,1978,2.06,0.0804,0.0,830.0,0.0574,0.0,0.0,0.47,0.0
1586,Japan,1992,9.42,0.607,7310.0,7020.0,0.0576,0.156,0.0,2.04,0.0
2164,Turkey,1999,3.34,0.322,1870.0,1530.0,0.0476,0.0,0.0,0.475,0.0
2618,Philippines,2005,0.849,0.0532,655.0,577.0,0.00843,0.0,0.0,0.171,0.0
122,Netherlands,1969,9.02,0.487,0.0,2710.0,0.0,0.00211,0.0,2.56,0.0
3116,Brazil,2012,2.31,0.0767,2770.0,2490.0,0.0,0.0,0.0856,0.581,0.562
1167,South Korea,1986,4.43,0.565,1690.0,1480.0,0.00842,0.0593,0.0,0.687,0.0
2147,Oman,1999,9.12,0.0,3730.0,3010.0,0.0,0.0,1.96,1.32,19.8
304,Ecuador,1973,0.795,0.0,0.0,161.0,0.00574,0.0,0.0,0.206,1.69
2861,Slovenia,2008,9.01,0.749,8110.0,6920.0,0.171,0.267,0.0,1.5,0.0
1779,Vietnam,1994,0.354,0.0312,167.0,131.0,0.0109,0.0,0.00282,0.0592,0.0964
504,UK,1976,10.7,1.3,0.0,4590.0,0.00564,0.0552,0.58,1.63,0.217
403,Qatar,1974,68.3,0.0,0.0,2570.0,0.0,0.0,7.52,1.22,168.0
2979,"Hong Kong, China",2010,5.76,0.894,5510.0,5970.0,0.0,0.0,0.0,2.55,0.0
2660,Egypt,2006,2.29,0.0111,1450.0,1270.0,0.0147,0.0,0.589,0.373,0.431
3121,Colombia,2012,1.73,0.102,1470.0,1180.0,0.0,0.0,0.215,0.298,1.08
1226,Iran,1987,3.1,0.0183,880.0,818.0,0.0144,0.0,0.191,0.82,2.28
958,France,1983,7.76,0.481,0.0,4710.0,0.109,0.227,0.0,1.64,0.0
2244,USA,2000,21.3,1.92,14400.0,13700.0,0.0771,0.243,1.58,3.12,1.23
673,Venezuela,1978,4.78,0.00549,0.0,1540.0,0.0746,0.0,0.853,1.11,8.14
373,France,1974,9.56,0.54,0.0,3280.0,0.0923,0.0241,0.0,2.31,0.0
1082,Denmark,1985,11.8,1.42,5700.0,5350.0,0.0005,0.0,0.197,2.08,0.572
1660,Iraq,1993,3.33,0.0,1430.0,1300.0,0.00271,0.0,0.11,1.3,1.18
2090,Venezuela,1998,7.17,0.00154,3470.0,2650.0,0.213,0.0,1.33,0.949,7.63
2355,"Hong Kong, China",2002,5.9,0.795,5120.0,5650.0,0.0,0.0,0.0,1.92,0.0
2864,Turkmenistan,2008,11.5,0.0,3040.0,2240.0,5e-05,0.0,10.7,1.06,2.15
1170,Luxembourg,1986,24.8,3.38,2770.0,12200.0,0.0233,0.0,0.0,3.05,0.0
616,Bangladesh,1978,0.0794,0.00166,0.0,20.6,0.00057,0.0,0.0124,0.0172,0.0
